"TYPE","VALUE"
"SIGNAL","835"
"SIGNAL","823"
"SIGNAL","791"
"SIGNAL","734"
"SIGNAL","676"
"SIGNAL","637"
"SIGNAL","562"
"SIGNAL","523"
"SIGNAL","483"
"SIGNAL","472"
"SIGNAL","470"
"SIGNAL","488"
"SIGNAL","479"
"SIGNAL","476"
"SIGNAL","494"
"SIGNAL","503"
"SIGNAL","491"
"SIGNAL","507"
"SIGNAL","516"
"SIGNAL","519"
"SIGNAL","479"
"SIGNAL","457"
"SIGNAL","445"
"SIGNAL","450"
"SIGNAL","447"
"SIGNAL","404"
"SIGNAL","399"
"SIGNAL","411"
"SIGNAL","413"
"SIGNAL","417"
"SIGNAL","417"
"SIGNAL","418"
"SIGNAL","428"
"SIGNAL","433"
"SIGNAL","444"
"SIGNAL","449"
"SIGNAL","454"
"SIGNAL","453"
"SIGNAL","446"
"SIGNAL","444"
"SIGNAL","430"
"SIGNAL","403"
"SIGNAL","411"
"SIGNAL","426"
"SIGNAL","445"
"SIGNAL","458"
"SIGNAL","485"
"SIGNAL","567"
"SIGNAL","619"
"PULSE","72"
"HRV","1050"
"SIGNAL","702"
"SIGNAL","784"
"SIGNAL","829"
"SIGNAL","802"
"SIGNAL","777"
"SIGNAL","720"
"SIGNAL","681"
"SIGNAL","673"
"SIGNAL","614"
"SIGNAL","582"
"SIGNAL","574"
"SIGNAL","546"
"SIGNAL","491"
"SIGNAL","457"
"SIGNAL","453"
"SIGNAL","462"
"SIGNAL","489"
"SIGNAL","482"
"SIGNAL","498"
"SIGNAL","511"
"SIGNAL","529"
"SIGNAL","555"
"SIGNAL","463"
"SIGNAL","427"
"SIGNAL","395"
"SIGNAL","376"
"SIGNAL","339"
"SIGNAL","397"
"SIGNAL","446"
"SIGNAL","512"
"SIGNAL","531"
"SIGNAL","526"
"SIGNAL","516"
"SIGNAL","500"
"SIGNAL","481"
"SIGNAL","447"
"SIGNAL","435"
"SIGNAL","428"
"SIGNAL","438"
"SIGNAL","428"
"SIGNAL","415"
"SIGNAL","416"
"SIGNAL","434"
"SIGNAL","430"
"SIGNAL","413"
"SIGNAL","419"
"SIGNAL","437"
"SIGNAL","482"
"SIGNAL","533"
"SIGNAL","632"
"PULSE","69"
"HRV","1018"
"SIGNAL","715"
"SIGNAL","807"
"SIGNAL","838"
"SIGNAL","813"
"SIGNAL","766"
"SIGNAL","720"
"SIGNAL","694"
"SIGNAL","671"
"SIGNAL","638"
"SIGNAL","602"
"SIGNAL","557"
"SIGNAL","506"
"SIGNAL","469"
"SIGNAL","464"
"SIGNAL","463"
"SIGNAL","471"
"SIGNAL","454"
"SIGNAL","482"
"SIGNAL","508"
"SIGNAL","498"
"SIGNAL","475"
"SIGNAL","456"
"SIGNAL","448"
"SIGNAL","469"
"SIGNAL","463"
"SIGNAL","453"
"SIGNAL","449"
"SIGNAL","459"
"SIGNAL","472"
"SIGNAL","484"
"SIGNAL","484"
"SIGNAL","460"
"SIGNAL","462"
"SIGNAL","457"
"SIGNAL","438"
"SIGNAL","418"
"SIGNAL","412"
"SIGNAL","384"
"SIGNAL","400"
"SIGNAL","409"
"SIGNAL","411"
"SIGNAL","415"
"SIGNAL","387"
"SIGNAL","401"
"SIGNAL","436"
"SIGNAL","477"
"SIGNAL","554"
"SIGNAL","621"
"PULSE","67"
"HRV","966"
"SIGNAL","719"
"SIGNAL","822"
"SIGNAL","881"
"SIGNAL","858"
"SIGNAL","830"
"SIGNAL","779"
"SIGNAL","741"
"SIGNAL","681"
"SIGNAL","617"
"SIGNAL","560"
"SIGNAL","515"
"SIGNAL","502"
"SIGNAL","431"
"SIGNAL","434"
"SIGNAL","439"
"SIGNAL","444"
"SIGNAL","453"
"SIGNAL","463"
"SIGNAL","466"
"SIGNAL","463"
"SIGNAL","450"
"SIGNAL","447"
"SIGNAL","438"
"SIGNAL","429"
"SIGNAL","424"
"SIGNAL","415"
"SIGNAL","411"
"SIGNAL","412"
"SIGNAL","390"
"SIGNAL","403"
"SIGNAL","378"
"SIGNAL","356"
"SIGNAL","378"
"SIGNAL","396"
"SIGNAL","396"
"SIGNAL","381"
"SIGNAL","383"
"SIGNAL","402"
"SIGNAL","428"
"SIGNAL","448"
"SIGNAL","466"
"SIGNAL","458"
"SIGNAL","448"
"SIGNAL","437"
"SIGNAL","431"
"SIGNAL","429"
"SIGNAL","466"
"SIGNAL","513"
"SIGNAL","563"
"SIGNAL","645"
"PULSE","66"
"HRV","1012"
"SIGNAL","732"
"SIGNAL","816"
"SIGNAL","825"
"SIGNAL","789"
"SIGNAL","761"
"SIGNAL","711"
"SIGNAL","668"
"SIGNAL","614"
"SIGNAL","572"
"SIGNAL","527"
"SIGNAL","497"
"SIGNAL","484"
"SIGNAL","480"
"SIGNAL","473"
"SIGNAL","464"
"SIGNAL","453"
"SIGNAL","428"
"SIGNAL","423"
"SIGNAL","446"
"SIGNAL","457"
"SIGNAL","440"
"SIGNAL","423"
"SIGNAL","421"
"SIGNAL","435"
"SIGNAL","451"
"SIGNAL","415"
"SIGNAL","434"
"SIGNAL","447"
"SIGNAL","455"
"SIGNAL","464"
"SIGNAL","451"
"SIGNAL","447"
"SIGNAL","425"
"SIGNAL","415"
"SIGNAL","412"
"SIGNAL","402"
"SIGNAL","390"
"SIGNAL","401"
"SIGNAL","428"
"SIGNAL","412"
"SIGNAL","397"
"SIGNAL","404"
"SIGNAL","421"
"SIGNAL","443"
"SIGNAL","479"
"SIGNAL","539"
"SIGNAL","621"
"PULSE","64"
"HRV","948"
"SIGNAL","696"
"SIGNAL","777"
"SIGNAL","824"
"SIGNAL","834"
"SIGNAL","820"
"SIGNAL","778"
"SIGNAL","713"
"SIGNAL","651"
"SIGNAL","609"
"SIGNAL","568"
"SIGNAL","533"
"SIGNAL","485"
"SIGNAL","423"
"SIGNAL","400"
"SIGNAL","402"
"SIGNAL","416"
"SIGNAL","446"
"SIGNAL","461"
"SIGNAL","449"
"SIGNAL","440"
"SIGNAL","456"
"SIGNAL","419"
"SIGNAL","411"
"SIGNAL","394"
"SIGNAL","390"
"SIGNAL","384"
"SIGNAL","377"
"SIGNAL","383"
"SIGNAL","379"
"SIGNAL","392"
"SIGNAL","346"
"SIGNAL","327"
"SIGNAL","337"
"SIGNAL","341"
"SIGNAL","397"
"SIGNAL","411"
"SIGNAL","420"
"SIGNAL","434"
"SIGNAL","436"
"SIGNAL","441"
"SIGNAL","441"
"SIGNAL","432"
"SIGNAL","418"
"SIGNAL","426"
"SIGNAL","446"
"SIGNAL","512"
"SIGNAL","613"
"PULSE","63"
"HRV","954"
"SIGNAL","726"
"SIGNAL","776"
"SIGNAL","813"
"SIGNAL","811"
"SIGNAL","785"
"SIGNAL","753"
"SIGNAL","678"
"SIGNAL","637"
"SIGNAL","591"
"SIGNAL","548"
"SIGNAL","528"
"SIGNAL","474"
"SIGNAL","445"
"SIGNAL","414"
"SIGNAL","435"
"SIGNAL","422"
"SIGNAL","401"
"SIGNAL","400"
"SIGNAL","423"
"SIGNAL","423"
"SIGNAL","417"
"SIGNAL","402"
"SIGNAL","400"
"SIGNAL","430"
"SIGNAL","417"
"SIGNAL","406"
"SIGNAL","404"
"SIGNAL","423"
"SIGNAL","427"
"SIGNAL","400"
"SIGNAL","372"
"SIGNAL","373"
"SIGNAL","381"
"SIGNAL","367"
"SIGNAL","400"
"SIGNAL","410"
"SIGNAL","413"
"SIGNAL","418"
"SIGNAL","432"
"SIGNAL","409"
"SIGNAL","391"
"SIGNAL","409"
"SIGNAL","385"
"SIGNAL","374"
"SIGNAL","380"
"SIGNAL","387"
"SIGNAL","397"
"SIGNAL","400"
"SIGNAL","412"
"SIGNAL","442"
"SIGNAL","505"
"SIGNAL","596"
"PULSE","61"
"HRV","1048"
"SIGNAL","684"
"SIGNAL","804"
"SIGNAL","875"
"SIGNAL","877"
"SIGNAL","836"
"SIGNAL","791"
"SIGNAL","742"
"SIGNAL","749"
"SIGNAL","648"
"SIGNAL","565"
"SIGNAL","545"
"SIGNAL","555"
"SIGNAL","549"
"SIGNAL","497"
"SIGNAL","473"
"SIGNAL","455"
"SIGNAL","473"
"SIGNAL","468"
"SIGNAL","445"
"SIGNAL","445"
"SIGNAL","453"
"SIGNAL","465"
"SIGNAL","446"
"SIGNAL","448"
"SIGNAL","441"
"SIGNAL","436"
"SIGNAL","431"
"SIGNAL","412"
"SIGNAL","408"
"SIGNAL","401"
"SIGNAL","406"
"SIGNAL","411"
"SIGNAL","405"
"SIGNAL","421"
"SIGNAL","398"
"SIGNAL","351"
"SIGNAL","302"
"SIGNAL","293"
"SIGNAL","289"
"SIGNAL","321"
"SIGNAL","349"
"SIGNAL","314"
"SIGNAL","370"
"SIGNAL","435"
"SIGNAL","479"
"SIGNAL","503"
"SIGNAL","500"
"SIGNAL","481"
"SIGNAL","452"
"SIGNAL","436"
"SIGNAL","437"
"SIGNAL","474"
"SIGNAL","564"
"SIGNAL","672"
"PULSE","59"
"HRV","1084"
"SIGNAL","792"
"SIGNAL","863"
"SIGNAL","887"
"SIGNAL","879"
"SIGNAL","847"
"SIGNAL","777"
"SIGNAL","713"
"SIGNAL","653"
"SIGNAL","619"
"SIGNAL","584"
"SIGNAL","530"
"SIGNAL","493"
"SIGNAL","464"
"SIGNAL","448"
"SIGNAL","419"
"SIGNAL","403"
"SIGNAL","404"
"SIGNAL","438"
"SIGNAL","434"
"SIGNAL","424"
"SIGNAL","421"
"SIGNAL","423"
"SIGNAL","420"
"SIGNAL","417"
"SIGNAL","418"
"SIGNAL","418"
"SIGNAL","397"
"SIGNAL","408"
"SIGNAL","418"
"SIGNAL","426"
"SIGNAL","427"
"SIGNAL","426"
"SIGNAL","400"
"SIGNAL","392"
"SIGNAL","393"
"SIGNAL","403"
"SIGNAL","416"
"SIGNAL","408"
"SIGNAL","414"
"SIGNAL","420"
"SIGNAL","440"
"SIGNAL","417"
"SIGNAL","415"
"SIGNAL","415"
"SIGNAL","407"
"SIGNAL","414"
"SIGNAL","396"
"SIGNAL","398"
"SIGNAL","408"
"SIGNAL","433"
"SIGNAL","464"
"SIGNAL","556"
"SIGNAL","675"
"PULSE","58"
"HRV","1068"
"SIGNAL","789"
"SIGNAL","893"
"SIGNAL","945"
"SIGNAL","939"
"SIGNAL","888"
"SIGNAL","823"
"SIGNAL","730"
"SIGNAL","654"
"SIGNAL","617"
"SIGNAL","601"
"SIGNAL","584"
"SIGNAL","539"
"SIGNAL","492"
"SIGNAL","467"
"SIGNAL","477"
"SIGNAL","459"
"SIGNAL","477"
"SIGNAL","479"
"SIGNAL","468"
"SIGNAL","456"
"SIGNAL","410"
"SIGNAL","396"
"SIGNAL","386"
"SIGNAL","392"
"SIGNAL","363"
"SIGNAL","338"
"SIGNAL","338"
"SIGNAL","358"
"SIGNAL","384"
"SIGNAL","379"
"SIGNAL","385"
"SIGNAL","390"
"SIGNAL","409"
"SIGNAL","390"
"SIGNAL","384"
"SIGNAL","385"
"SIGNAL","390"
"SIGNAL","404"
"SIGNAL","393"
"SIGNAL","393"
"SIGNAL","383"
"SIGNAL","369"
"SIGNAL","345"
"SIGNAL","310"
